question,date,old_tab,payee,description,amount_cents,docId
"who paid? (no box ticked, no card on the receipt, August or later)",2026-08-14,RECAST BIZ,"Netlify, Inc.","Netlify Base Plan (Aug 13 – Sep 12, 2026), invoice #SFWGOE-00007",2000,gm-19ffdd917bf87cc8
"who paid? (no box ticked, no card on the receipt, August or later)",,RECAST BIZ,Apify,Monthly Apify subscription,2900,
row has no date,,RECAST BIZ,Apify,Monthly Apify subscription,2900,
"who paid? (no box ticked, no card on the receipt, August or later)",2026-09-14,RECAST BIZ,"Netlify, Inc.","Netlify hosting — 3000 credits per month, invoice #SFWGOE-00008",2000,gm-1a09dd4b4cfb2200
"who paid? (no box ticked, no card on the receipt, August or later)",,RECAST BIZ,420 Alyssa,,66667,
row has no date,,RECAST BIZ,420 Alyssa,,66667,
"who paid? (no box ticked, no card on the receipt, August or later)",2026-09-07,104 Ashburne,Marianna,Cleaning,45000,gm-1a07ec26660d7659
"who paid? (no box ticked, no card on the receipt, August or later)",2026-08-03,104 Ashburne,Energy Texas,Electricity,37116,gm-19fc8ca461cafa79
"who paid? (no box ticked, no card on the receipt, August or later)",2026-08-10,104 Ashburne,Atmos Energy,Natural Gas,3579,gm-19fecb16f5663e40
"who paid? (no box ticked, no card on the receipt, August or later)",2026-08-30,104 Ashburne,Falcon Creek Lawn Care - INV 1390,Trim Bushes,15000,gm-1a05ab0fab9330ec
"who paid? (no box ticked, no card on the receipt, August or later)",2026-09-01,104 Ashburne,Keith Pfaff,Irrigation Repair,5000,gm-1a05e2374d3a2f2d
"who paid? (no box ticked, no card on the receipt, August or later)",2026-09-01,104 Ashburne,Julio,Labor,15000,gm-1a05e23b4b8b9be7
"who paid? (no box ticked, no card on the receipt, August or later)",2026-09-05,104 Ashburne,Keith Pfaff,Irrigation Repair,13500,gm-1a0716dcb2254415
